SampleID,sed_source,target_sed_conc,sed_size,replicate,actual_sed,actual_OM_g,perc_OM,actual_TSS_conc,actual_OM_conc,NH4N,NO3N,PO4P,DOC,perc_C,perc_N,molar_CN,AssimUptakeRate_micro,AssimUptakeRate_perSed,AssimUptakeRate_perOM,Denrate_micro,Denrate_perSed,Denrate_perOM
M10108,streambed,500,silt,1,209.6,25.7,12.26,838.3,102.8,0.039,3.569,0.036,"2,200",3.098,0.304,11.9,26.6,126.9,888.1,0,0,0
M10208,streambed,500,silt,2,110.6,13.9,12.54,442.5,55.5,0.032,4.048,0.032,"2,178",1.862,0.214,10.16,4.9,44.2,486.6,0,0,0
M10308,streambed,500,silt,3,64.6,8.7,13.51,258.3,34.9,0.049,3.777,0.067,"1,898",3.668,0.311,13.77,6.2,103.8,622.8,0,0,0
M10408,streambed,1000,silt,1,132.4,18.1,13.67,529.6,72.4,0.064,3.974,0.044,"2,359",2.923,0.271,12.57,17,130.9,850.9,0,0,0
M10508,streambed,1000,silt,2,140.9,19,13.45,563.7,75.8,0.074,4.271,0.048,"2,088",2.915,0.286,11.89,7,49.7,348.2,10.87,77.1,573.39
M10608,streambed,1000,silt,3,264.8,35.3,13.32,1059.3,141.1,0.054,3.837,0.046,,2.995,0.271,12.91,11.6,44.5,289.3,20.46,77.26,580.04
M10708,streambed,2500,silt,1,319.8,39.2,12.25,1279.3,156.7,0.099,3.956,0.054,"2,450",3.176,0.302,12.26,9.7,30.4,243.4,54.19,169.44,1383.28
M10808,streambed,2500,silt,2,1352,138.7,10.26,5408.1,554.8,0.056,3.741,0.045,"2,227",3.875,0.334,13.53,10.9,8.1,77.9,11.08,8.19,79.87
M10908,streambed,2500,silt,3,480.9,53.4,11.1,1923.5,213.5,0.059,,,"2,281",3.43,0.315,12.69,21.5,44.9,431,2.06,4.28,38.56
M11008,streambed,5000,silt,1,748.5,79.9,10.67,2993.9,319.5,0.07,3.834,0.046,"2,204",3.441,0.337,11.9,3.6,4.8,45.3,19.48,26.02,243.83
M11108,streambed,5000,silt,2,,,,,,0.07,3.931,0.057,"2,046",3.571,0.291,14.33,0.3,0.7,27.4,2.85,755.52,1226.7
M11208,streambed,5000,silt,3,90.7,17.5,19.25,362.6,69.8,0.097,3.942,0.069,"2,443",3.027,0.299,11.82,8.1,89.7,403.8,159.1,1755.06,9117.24
M11308,streambed,500,sand,1,112.1,8.3,7.36,448.3,33,0.019,3.765,0.027,"2,013",6.346,0.02,368.21,1.1,9.7,106.2,30.81,274.87,3734.05
M11408,streambed,500,sand,2,34.9,5,14.32,139.7,20,0.026,3.664,0.027,"1,820",5.098,0.088,67.94,2.4,79.2,237.7,11.27,322.81,2254.83
M11508,streambed,500,sand,3,235.1,22.5,9.58,940.4,90.1,0.024,3.403,0.025,"1,802",4.356,0.054,93.53,4,16.7,200,60.63,257.87,2691.47
M11608,streambed,1000,sand,1,32.7,7,21.24,130.9,27.8,0.037,3.651,0.026,"1,844",3.484,0.053,76.58,0.5,15.8,47.5,55.02,1681.15,7915.94
M11708,streambed,1000,sand,2,317.9,23.4,7.35,1271.4,93.5,0.054,3.577,0.04,"1,923",3.537,0.019,222.82,0.3,1,16.7,5.53,17.41,236.79
M11808,streambed,1000,sand,3,402.4,104,25.85,1609.4,416.1,0.025,3.517,0.024,"1,741",2.641,0.027,112.29,2.8,7,27.9,0,0,0
M11908,streambed,2500,sand,1,386,24.6,6.37,1543.8,98.4,0.044,3.65,0.038,"1,734",2.527,0.035,84.45,0.8,2,39,20.5,53.11,833.18
M12008,streambed,2500,sand,2,229.1,26.6,11.59,916.4,106.2,0.031,3.617,0.029,"1,800",1.824,0.018,119.65,2.1,9.1,70,19.16,83.65,721.79
M12108,streambed,2500,sand,3,461.6,76.1,16.49,1846.4,304.4,0.044,3.643,0.044,"1,674",2.55,0.025,120.34,1.6,3.5,19.9,27.62,59.83,362.9
M12208,streambed,5000,sand,1,355.2,57.7,16.25,1420.9,230.9,0.021,3.62,0.04,"1,842",2.235,0.033,78.08,1.8,5,29.9,0,0,0
M12308,streambed,5000,sand,2,758.7,132.9,17.52,3034.8,531.6,0.055,3.66,0.038,"1,644",1.548,0.021,85.53,1.7,2.3,13.4,0.31,0.41,2.37
M12408,streambed,5000,sand,3,351.3,44.8,12.76,1405.1,179.3,0.038,3.416,0.033,"1,873",2.094,0.018,136.36,0.5,1.5,13.4,55.18,157.09,1231.08
M20108,stream bank,500,silt,1,314.9,35.7,11.34,1259.5,142.8,0.046,0.692,0.044,"2,105",6.562,0.757,10.11,13,42,325.7,8.08,25.65,226.24
M20208,stream bank,500,silt,2,181,22.4,12.38,723.8,89.6,0.022,3.331,0.037,"2,090",5.856,0.483,14.14,3.2,17.9,161.4,12.66,69.96,565.13
M20308,stream bank,500,silt,3,66.5,9.3,14.02,266.1,37.3,0.026,3.272,0.039,"1,619",4.269,0.357,13.94,1.4,19.7,138.2,11.97,179.95,1283.78
M20408,stream bank,1000,silt,1,100.6,14.7,14.59,402.3,58.7,0.025,3.044,0.041,"1,767",4.762,0.41,13.54,1.5,15,150.2,46.32,460.52,3156.15
M20508,stream bank,1000,silt,2,107.4,13.6,12.64,429.6,54.3,0.025,3.244,0.041,"1,739",4.374,0.4,12.76,2.3,21.3,234.1,15.19,141.45,1119.07
M20608,stream bank,1000,silt,3,254,29.6,11.65,1015.9,118.4,0.018,3.203,0.04,"1,935",4.475,0.405,12.9,19.6,78.3,652.1,51.33,202.11,1734.17
M20708,stream bank,2500,silt,1,189.5,23,12.14,757.9,92,0.021,3.166,0.047,"1,701",3.833,0.341,13.12,3.9,20.4,193.6,40.4,213.2,1756.35
